Packet Type	Timestamp	GSR		PPG
0x00		15719765,	 294,	1717
0x00		15720420,	 294,	1720
0x00		15721075,	 294,	1722
0x00		15721730,	 294,	1722
0x00		15722385,	 294,	1723
0x00		15723040,	 294,	1723
0x00		15723695,	 294,	1723
0x00		15724350,	 294,	1724
0x00		15725005,	 294,	1727
0x00		15725660,	 294,	1728
0x00		15726315,	 294,	1729
0x00		15726970,	 294,	1730
0x00		15727625,	 294,	1730
0x00		15728280,	 294,	1730
0x00		15728935,	 294,	1731
0x00		15729590,	 294,	1730
0x00		15730245,	 294,	1727
0x00		15730900,	 294,	1726
0x00		15731555,	 294,	1726
0x00		15732210,	 294,	1725
0x00		15732865,	 294,	1725
0x00		15733520,	 294,	1725
0x00		15734175,	 294,	1727
0x00		15734830,	 294,	1728
0x00		15735485,	 294,	1729
0x00		15736140,	 294,	1729
0x00		15736795,	 294,	1730
0x00		15737450,	 294,	1731
0x00		15738105,	 294,	1728
0x00		15738760,	 294,	1726
0x00		15739415,	 294,	1726
0x00		15740070,	 294,	1727
0x00		15740725,	 294,	1729
0x00		15741380,	 294,	1727
0x00		15742035,	 294,	1728
0x00		15742690,	 294,	1728
0x00		15743345,	 294,	1729
0x00		15744000,	 294,	1731
0x00		15744655,	 294,	1727
0x00		15745310,	 294,	1728
0x00		15745965,	 294,	1728
0x00		15746620,	 294,	1728
0x00		15747275,	 294,	1730
0x00		15747930,	 294,	1730
0x00		15748585,	 294,	1727
0x00		15749240,	 294,	1729
0x00		15749895,	 294,	1730
0x00		15750550,	 294,	1734
0x00		15751205,	 294,	1733
0x00		15751860,	 294,	1735
0x00		15752515,	 294,	1734
0x00		15753170,	 293,	1736
0x00		15753825,	 294,	1734
0x00		15754480,	 294,	1736
0x00		15755135,	 294,	1737
