AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
43000.35,42187.49,-38139.004,-40201.914,-39665.047,53539.38,52696.94,52401.004,10396.664428439788
42924.133,42305.883,-37709.047,-39642.516,-39164.367,53544.855,52690.773,52399.04,10396.668451806752
42887.992,42349.156,-38033.305,-39790.777,-39328.99,53543.402,52686.414,52395.707,10396.672475173717
42930.28,42316.12,-38426.426,-40298.92,-39910.65,53532.72,52684.047,52390.855,10396.67649854068
42989.535,42194.15,-38514.113,-40509.273,-40212.957,53528.984,52687.465,52391.996,10396.680521907645
42963.81,42282.035,-38083.906,-39896.23,-39633.645,53537.324,52688.227,52394.5,10396.68454527461
42892.395,42310.535,-37557.48,-39333.24,-39144.477,53541.348,52678.637,52389.605,10396.688568641574
42859.113,42313.684,-37796.82,-40056.562,-39281.69,53536.766,52670.14,52382.92,10396.692592008538
42889.777,42362.836,-38296.07,-40866.61,-39840.465,53527.086,52667.84,52377.78,10396.696615375502
42938.84,42384.81,-38345.02,-41051.57,-40110.273,53519.105,52666.59,52372.953,10396.700638742466
42913.984,42323.676,-37930.484,-40437.01,-39515.94,53528.984,52668.176,52376.35,10396.70466210943
42834.1,42248.24,-37419.547,-39823.7,-39080.37,53536.92,52661.113,52374.207,10396.708685476395
42796.797,42249.758,-37765.44,-39949.25,-39260.3,53530.55,52651.746,52365.914,10396.712708843359
42840.54,42311.496,-38271.15,-40440.945,-39818.492,53519.26,52648.707,52360.168,10396.716732210323
42900.574,42343.793,-38333.49,-40615.758,-40088.03,53512.47,52648.17,52357.598,10396.720755577287
42873.844,42281.766,-37923.51,-39976.52,-39489.14,53521.9,52649.152,52360.48,10396.724778944252
42799.41,42210.8,-37350.3,-39342.87,-39043.38,53527.242,52638.895,52354.69,10396.728802311216
42761.637,42215.406,-37592.258,-39992.992,-39210.84,53522.727,52630.734,52347.63,10396.73282567818
42799.523,42270.367,-38152.06,-40787.26,-39750.14,53512.266,52627.72,52341.707,10396.736849045144
42853.08,42297.234,-38215.312,-40962.566,-40018.7,53506.008,52627.76,52338.8,10396.740872412109
42837.14,42244.484,-37818.727,-40352.254,-39440.3,53512.49,52625.73,52338.31,10396.744895779073
42767.78,42180.805,-37279.09,-39726.695,-39014.68,53518.84,52616.566,52333.457,10396.748919146037
