frame,1-1:1,1-2:2,2-1:3,2-3:4,3-2:5,3-3:6,3-4:7,4-2:8,4-4:9,4-5:10,5-3:11,5-4:12,5-6:13,6-4:14,6-5:15,6-6:16,7-5:17,7-7:18,8-6:19,8-7:20,timestamp
897.0,0.5817036,0.76913714,0.6109653,0.5946809,0.016093485,0.32340768,0.14591329,0.08830814,0.025755564,0.052937914,0.31177235,0.61030114,0.19883676,0.14628898,0.01320556,0.23807734,0.16175754,0.110291086,0.10815927,0.7127135,11421.142808952924
898.0,0.57550234,0.7633255,0.6061531,0.5922828,0.013115135,0.32166407,0.1450108,0.0906201,0.02744857,0.054527532,0.31129682,0.6089059,0.19833688,0.14616464,0.013582198,0.23749211,0.16251148,0.11077005,0.108433016,0.71445966,11421.270808772073
899.0,0.57524556,0.76108205,0.606802,0.59187055,0.011890856,0.3207901,0.14445883,0.086872965,0.027199108,0.052833207,0.3104951,0.60891366,0.19795823,0.1458471,0.014690224,0.23680754,0.16085444,0.1104527,0.10834254,0.7131475,11421.398808591222
900.0,0.5744628,0.7618109,0.6071747,0.5919188,0.01384938,0.32040447,0.14453483,0.087483495,0.02557672,0.05380526,0.3108761,0.6107956,0.19846228,0.14714587,0.014042089,0.23701182,0.16097704,0.11049721,0.108960636,0.7160049,11421.526808410372
901.0,0.5764487,0.76314247,0.6111365,0.59317195,0.01278137,0.3206664,0.14528589,0.08725724,0.027287785,0.053027246,0.31166023,0.61452216,0.1992259,0.149182,0.015378139,0.23757613,0.16360281,0.11114007,0.10949464,0.71895325,11421.654808229521
902.0,0.578288,0.76578605,0.61481744,0.59485024,0.013952615,0.32135135,0.1465516,0.09164561,0.03223185,0.057871662,0.31264424,0.6177678,0.20018746,0.14966908,0.014142922,0.23828639,0.161883,0.11084905,0.110073246,0.72168124,11421.78280804867
903.0,0.58058476,0.7721658,0.6178212,0.5960925,0.013247533,0.32228178,0.14691295,0.090609856,0.027955934,0.0547309,0.31379026,0.6214387,0.20105413,0.15090472,0.016750209,0.23920304,0.16055858,0.11103302,0.11074132,0.7245663,11421.91080786782
904.0,0.5830327,0.7723803,0.6216582,0.5978408,0.015878305,0.32342398,0.1479129,0.09115717,0.025540905,0.055762205,0.31512627,0.6263456,0.20227547,0.15264568,0.015893819,0.24034941,0.16396955,0.112231076,0.11149362,0.72861683,11422.03880768697
905.0,0.5856395,0.7740166,0.6261579,0.5994816,0.0147941895,0.32424116,0.14866112,0.08766231,0.026139019,0.054120492,0.31450444,0.62595564,0.20166467,0.15093088,0.013002363,0.23924866,0.16365518,0.11144421,0.109457046,0.71384746,11422.166807506119
906.0,0.5789364,0.7693762,0.6120543,0.5942686,0.015165404,0.32190016,0.14622612,0.09170268,0.024089975,0.056178913,0.3130681,0.61874896,0.20012133,0.14907604,0.014304985,0.23772262,0.1602902,0.11008482,0.10961519,0.7145052,11422.294807325268
907.0,0.5802141,0.7717714,0.61473614,0.59516126,0.01030668,0.32179707,0.14667603,0.09017512,0.025153033,0.054986555,0.3131144,0.62008345,0.20036806,0.14943844,0.014947497,0.23784937,0.1616219,0.11103369,0.10949318,0.7139905,11422.422807144418
908.0,0.5794329,0.76707494,0.6137972,0.5946984,0.015475064,0.32155067,0.14631462,0.093001574,0.028607877,0.054853998,0.31327644,0.62039775,0.20045201,0.15030362,0.014779903,0.23787782,0.16349947,0.11118614,0.109978355,0.71634936,11422.550806963567
909.0,0.58128273,0.77089685,0.6171463,0.59658,0.017634647,0.32199484,0.14688025,0.09056042,0.02203686,0.053764656,0.31430286,0.623521,0.20141661,0.15149657,0.016840445,0.23865059,0.16185416,0.11067175,0.11067864,0.7189019,11422.678806782716
910.0,0.5836108,0.7714754,0.6213896,0.59885,0.010091882,0.32295588,0.14751606,0.09393697,0.031119674,0.060118932,0.3153601,0.6275288,0.20249374,0.15256235,0.01535019,0.23966613,0.16250335,0.11163421,0.11102677,0.7195786,11422.806806601866
911.0,0.5860506,0.77538407,0.6244109,0.600681,0.0137488395,0.3238426,0.1478471,0.088782154,0.02435745,0.053850003,0.31637934,0.6293752,0.20288558,0.15328637,0.018375808,0.2400961,0.16518499,0.11222384,0.111467466,0.7220449,11422.934806421015
912.0,0.5889591,0.7790593,0.6266545,0.6038411,0.014132492,0.32513544,0.1492849,0.08987457,0.027605515,0.05727359,0.31726402,0.6337842,0.20316738,0.15402445,0.015525911,0.24056216,0.16360751,0.111563,0.11073685,0.7138559,11423.062806240165
913.0,0.5861829,0.7798087,0.61755836,0.59989107,0.013636759,0.3236016,0.1477838,0.091265924,0.026844269,0.05524756,0.31557572,0.6260212,0.20161377,0.1516043,0.016787918,0.23825333,0.16276446,0.111278825,0.10976315,0.7091726,11423.190806059314
914.0,0.58309126,0.77259624,0.6169086,0.5992089,0.015188175,0.32307404,0.1470554,0.090232074,0.022987641,0.05683826,0.3157289,0.62685573,0.20159413,0.1516498,0.015204301,0.23823585,0.16347632,0.11188855,0.11025127,0.71052283,11423.318805878464
915.0,0.5850887,0.7750188,0.61862236,0.59945685,0.015872708,0.32301363,0.14700332,0.09049744,0.027415222,0.05507002,0.31566656,0.62712145,0.20191857,0.1513992,0.01547121,0.23825264,0.16315517,0.1118721,0.110291876,0.71135944,11423.446805697613
