Routine,Problem ID,Stimuli,Idea generation/Reaction time,Additional info/Feedback question,Total/Feedback answer,timestamp
Feedback answer,3,Far,,novelty,5,273693.9590909033
Feedback,3,Far,,,,273693.9872886032
Feedback answer,3,Far,,quality,1,273696.52401479526
One-back initialize,3,Far,,,,273696.5260363952
One-back reaction time,3,Far,0.5878483666456304,,,273707.0958880621
One-back reaction time,3,Far,0.4572332666721195,,,273707.79526475986
One-back reaction time,3,Far,0.47339216666296124,,,273714.5094461388
Problem statement,4,Near,,,,273726.28817240184
Crosshair,4,Near,,,,273733.28910427983
Wordset 1,4,Near,,,,273734.2128453769
Idea generated,4,Near,19.512150933325756,,,273753.72389411565
Idea generated,4,Near,23.579584833292756,,,273757.79126780294
Idea generated,4,Near,29.217615833331365,,,273763.42934608524
Idea generated,4,Near,44.005967533332296,,,273778.2178903388
Idea generated,4,Near,52.11800163332373,,,273786.32973421336
Wordset 1,4,Near,,Total ideas generated,5,273794.2172123886
One-back initialize,4,Near,,,,273794.2172353886
One-back reaction time,4,Near,0.5535748666734435,,,273804.76495745545
One-back reaction time,4,Near,0.477730666694697,,,273805.48498315323
One-back reaction time,4,Near,0.8084505666047335,,,273814.5598072247
One-back reaction time,4,Near,0.6734042666503228,,,273817.4908048155
One-back reaction time,4,Near,0.4880202666390687,,,273818.22149121325
One-back reaction time,4,Near,0.6568066666368395,,,273821.1208524041
Wordset 2,4,Near,,,,273823.9911853951
Idea generated,4,Near,3.33352600003127,,,273827.3465336846
Idea generated,4,Near,7.6755402000271715,,,273831.688583671
Idea generated,4,Near,22.638120400020853,,,273846.651103724
Idea generated,4,Near,40.9383467999869,,,273864.95136896655
Idea generated,4,Near,45.920050300017465,,,273869.9330555509
Idea generated,4,Near,56.87688100000378,,,273880.8899024165
Idea generated,4,Near,59.66528409998864,,,273883.67828270775
Wordset 2,4,Near,,Total ideas generated,7,273884.00598330674
Feedback,4,Near,,,,273884.0390186066
Feedback answer,4,Near,,useful,5,273887.40204649605
Feedback,4,Near,,,,273887.43316749594
Feedback answer,4,Near,,relevant,5,273888.697669292
Feedback,4,Near,,,,273888.7279413919
Feedback answer,4,Near,,novelty,5,273890.6964818857
Feedback,4,Near,,,,273890.7248030856
Feedback answer,4,Near,,quality,4,273895.02476287214
One-back initialize,4,Near,,,,273895.0271915721
One-back reaction time,4,Near,0.5731293666758575,,,273905.6008550389
One-back reaction time,4,Near,0.523147166648414,,,273908.36591483024
One-back reaction time,4,Near,0.4913266666699201,,,273911.1131856216
One-back reaction time,4,Near,0.5246967666316777,,,273919.87276359415
One-back reaction time,4,Near,0.5069111667107791,,,273920.6215429918
One-back reaction time,4,Near,0.6886617666459642,,,273923.5515436826
Problem statement,5,Far,,,,273924.8276928786
Crosshair,5,Far,,,,273931.81076525664
Wordset 1,5,Far,,,,273934.7504719474
Idea generated,5,Far,0.9396856999956071,,,273935.69948934444
Idea generated,5,Far,2.0172734999796376,,,273936.77709444106
Idea generated,5,Far,4.641813899972476,,,273939.40157513286
Idea generated,5,Far,9.124686099996325,,,273943.88447891874
Idea generated,5,Far,11.60537339997245,,,273946.36518461094
Idea generated,5,Far,15.184081999992486,,,273949.9438742997
Idea generated,5,Far,29.698767599998973,,,273964.45853355416
Idea generated,5,Far,33.31618789996719,,,273968.0759991428
Idea generated,5,Far,35.129006000002846,,,273969.88879303716
Idea generated,5,Far,41.227549300005194,,,273975.987320518
Idea generated,5,Far,42.43431649997365,,,273977.1940817142
Idea generated,5,Far,47.634325099992566,,,273982.39412099787
Idea generated,5,Far,53.55516329995589,,,273988.3149728793
Wordset 1,5,Far,,Total ideas generated,13,273994.7366542591
One-back initialize,5,Far,,,,273994.7366760591
One-back reaction time,5,Far,0.5248683666577563,,,274005.2341903261
One-back reaction time,5,Far,0.5080127666587941,,,274018.0102565861
One-back reaction time,5,Far,0.4915559666696936,,,274022.7717777711
One-back reaction time,5,Far,0.4883479666314088,,,274023.5022924688
Wordset 2,5,Far,,,,274024.49296296574
Idea generated,5,Far,3.9751266333041713,,,274028.49254645314
Idea generated,5,Far,10.774851233349182,,,274035.2922815318
Idea generated,5,Far,15.985336633340921,,,274040.50280611543
Idea generated,5,Far,21.907597433310002,,,274046.42505469685
Idea generated,5,Far,56.19201883330243,,,274080.7094380892
Wordset 2,5,Far,,Total ideas generated,5,274084.50574547733
Feedback,5,Far,,,,274084.5396514772
Feedback answer,5,Far,,useful,4,274088.0162707663
Feedback,5,Far,,,,274088.03914916626
