frame,1-1:1,1-2:2,2-1:3,2-3:4,3-2:5,3-3:6,3-4:7,4-2:8,4-4:9,4-5:10,5-3:11,5-4:12,5-6:13,6-4:14,6-5:15,6-6:16,7-5:17,7-7:18,8-6:19,8-7:20,timestamp
335.0,0.6455729,0.7847364,0.7005906,0.57621884,0.015110705,0.35740003,0.16170369,0.08928542,0.027193965,0.055709053,0.3076111,0.7677928,0.20741922,0.17031753,0.01643033,0.30148515,0.2258334,0.15741454,0.114208035,0.781831,11643.905270347203
336.0,0.645615,0.78504735,0.7030327,,0.01486146,0.35701376,0.16213655,0.087698944,0.02650285,0.053843565,0.3074559,0.7681414,0.20735984,0.16942614,0.01743461,0.30124348,0.22413066,0.15644355,0.11438126,0.78300816,11644.033272196539
337.0,0.645253,0.78516626,0.7044927,,0.013915072,0.35748163,0.16262789,0.0880968,0.025762659,0.052501287,0.30790266,0.7702582,0.20791589,0.17116019,0.017313214,0.3018458,0.22417669,0.15733124,0.11511893,0.7863931,11644.161274045873
338.0,0.6459435,0.787005,0.7091364,,0.01681823,0.35806262,0.16342494,0.086627096,0.030946229,0.054309554,0.30850962,0.7727645,0.20882683,0.17168033,0.018698575,0.30276224,0.22457731,0.15663485,0.11580226,0.7907985,11644.28927589521
339.0,0.64694476,0.7922187,0.71264124,,0.015883079,0.35932598,0.16408598,0.08997112,0.023639927,0.05384623,0.3079549,0.7746776,0.20876393,0.17153239,0.018706623,0.3028033,0.22591595,0.15544352,0.114294715,0.77781194,11644.417277744544
340.0,0.64363754,0.7906575,0.7011712,,0.017074889,0.3562875,0.16221379,0.08831298,0.027894448,0.055451047,0.3059715,0.76445806,0.20706287,0.16866066,0.01791661,0.30028158,0.22636911,0.1559545,0.11441206,0.78048044,11644.54527959388
341.0,0.6425467,0.7856268,0.7031339,,0.016264873,0.35624236,0.16304278,0.08881188,0.022911627,0.05456397,0.30635422,0.76655704,0.20754032,0.17015766,0.019254997,0.30036852,0.22410426,0.15617609,0.11450795,0.7814211,11644.673281443216
342.0,0.64263904,0.78885895,0.70497715,,0.017792419,0.35593432,0.16299357,0.08746681,0.025237584,0.055299677,0.3064346,0.76729643,0.20746048,0.16941437,0.017871015,0.3002239,0.22410418,0.15576251,0.1150222,0.7845153,11644.80128329255
343.0,0.6428046,0.78603554,0.7071444,,0.018431474,0.35641727,0.16396233,0.089958444,0.026683714,0.054083977,0.30725297,0.77056843,0.20810035,0.17102657,0.01713078,0.3007898,0.22251697,0.15600574,0.11568707,0.78875864,11644.929285141887
344.0,0.6441265,0.791719,0.71134025,,0.013680921,0.3572223,0.1644121,0.08578502,0.027887473,0.053743638,0.3079238,0.77427566,0.20878458,0.17225434,0.016011601,0.30147204,0.2263904,0.15688501,0.11638679,0.79254746,11645.057286991221
