AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
44222.637,43708.145,32482.137,-30453.514,57138.902,45079.355,44405.004,45519.773,11421.122002395858
44239.555,43742.32,31688.158,-31606.953,57127.1,45062.367,44403.574,45511.953,11421.12599576418
44289.0,43802.156,30912.127,-33003.625,57089.395,45040.754,44420.27,45510.027,11421.129989132502
44304.734,43807.945,31147.066,-32893.027,57075.83,45040.777,44430.977,45514.21,11421.133982500824
44257.035,43743.348,32166.797,-31265.754,57109.824,45060.74,44417.52,45516.38,11421.137975869146
44212.758,43698.62,32506.678,-30405.682,57146.234,45071.355,44396.062,45510.902,11421.141969237467
44230.66,43733.2,31713.951,-31554.674,57136.2,45055.484,44394.723,45503.727,11421.14596260579
44283.453,43796.277,30929.293,-32954.652,57101.734,45037.156,44414.168,45505.0,11421.149955974111
44298.766,43801.664,31147.334,-32860.863,57086.49,45035.816,44423.71,45507.703,11421.153949342433
44252.633,43738.742,32159.467,-31247.158,57121.36,45057.117,44412.133,45511.125,11421.157942710755
44210.59,43696.05,32503.861,-30381.943,57160.207,45070.348,44393.203,45508.508,11421.161936079076
44228.426,43730.99,31705.078,-31527.94,57150.57,45055.215,44391.973,45501.6,11421.165929447398
44280.414,43793.19,30911.748,-32954.94,57115.168,45036.33,44410.793,45501.938,11421.16992281572
44296.82,43800.12,31122.412,-32880.824,57100.617,45036.22,44421.41,45505.83,11421.173916184041
44247.69,43734.293,32135.148,-31268.996,57132.31,45054.723,44406.86,45506.34,11421.177909552363
44205.582,43691.312,32493.021,-30391.041,57171.76,45068.67,44388.53,45503.95,11421.181902920685
44223.844,43726.45,31702.172,-31527.404,57162.887,45054.277,44388.22,45497.47,11421.185896289007
44273.062,43786.152,30904.818,-32956.91,57124.645,45032.195,44404.445,45494.875,11421.18988965733
44291.3,43794.8,31113.383,-32885.766,57110.81,45032.684,44416.402,45499.57,11421.193883025651
44246.016,43732.395,32121.156,-31279.232,57145.32,45054.164,44404.824,45503.08,11421.197876393973
44201.65,43687.332,32483.32,-30375.977,57183.094,45066.37,44384.285,45499.08,11421.201869762295
44218.145,43720.547,31702.62,-31494.48,57173.37,45050.79,44382.605,45491.656,11421.205863130617
44267.695,43780.742,30902.27,-32924.543,57135.395,45028.684,44398.7,45488.973,11421.20985649894
44285.02,43788.566,31093.2,-32874.855,57119.637,45027.387,44409.14,45492.125,11421.213849867261
44238.06,43724.57,32102.94,-31276.84,57151.645,45046.945,44395.953,45493.867,11421.217843235583
