frame,1-1:1,1-2:2,2-1:3,2-3:4,3-2:5,3-3:6,3-4:7,4-2:8,4-4:9,4-5:10,5-3:11,5-4:12,5-6:13,6-4:14,6-5:15,6-6:16,7-5:17,7-7:18,8-6:19,8-7:20,timestamp
797.0,0.62764007,1.1178848,0.64282274,0.55403286,0.02594654,0.30020213,0.18483387,0.085823484,0.031567123,0.13909009,0.2705278,0.07922673,0.19124563,0.20369038,0.044318266,0.23273677,0.49908546,0.22802043,0.11406802,0.5974428,10398.192639149462
798.0,0.62923425,1.1165184,0.64663637,0.5561212,0.023709772,0.3011323,0.18614666,0.08318036,0.026119702,0.13730937,0.27182308,0.07964424,0.19241378,0.20457326,0.04270195,0.23355646,0.49595988,0.22929563,0.11487172,0.6034849,10398.320639769263
799.0,0.6312462,1.1236823,0.65092456,0.5591915,0.025332753,0.30248326,0.18646553,0.08386778,0.030498175,0.13861075,0.2723068,0.07969266,0.19233921,0.205056,0.045354307,0.2337191,0.4965147,0.22829741,0.11344719,0.5949311,10398.448640389066
800.0,0.6276831,1.1077259,0.6390141,0.55289125,0.021977438,0.29940182,0.18343854,0.08160156,0.027470414,0.13803574,0.2691415,0.07887079,0.18956326,0.20221305,0.04585745,0.23183616,0.49372905,0.22876544,0.11288895,0.5952288,10398.576641008867
801.0,0.6267593,1.1003748,0.6414502,0.5539073,0.025659638,0.2998826,0.18439643,0.08242529,0.029652996,0.13593765,0.26958877,0.07906377,0.19023503,0.20314352,0.04405949,0.23243022,0.4911117,0.22975852,0.113273405,0.59981704,10398.70464162867
802.0,0.6292049,1.1070083,0.6436826,0.55295587,0.024203103,0.29948914,0.1842749,0.08405048,0.028791983,0.13719052,0.26879776,0.07896673,0.18953548,0.20286404,0.0475284,0.23227775,0.49032316,0.22869562,0.11322609,0.60160536,10398.832642248472
803.0,0.62987393,1.1092429,0.6452225,0.5539274,0.025110856,0.29988322,0.18451136,0.08598176,0.03235879,0.13931721,0.26952514,0.0791628,0.1898989,0.20430334,0.044032276,0.23278254,0.49277636,0.23013891,0.11386422,0.606833,10398.960642868273
804.0,0.6315418,1.1141977,0.6486457,0.55590254,0.025154877,0.30077097,0.1849461,0.085013814,0.03162179,0.13824268,0.27056935,0.079472035,0.19086051,0.20511045,0.04214669,0.2335069,0.49692604,0.23134176,0.11450983,0.61230767,10399.088643488076
805.0,0.6342082,1.1267452,0.65133125,0.55624956,0.026955865,0.30077043,0.18509814,0.08386972,0.02699775,0.13887988,0.26855212,0.07902331,0.18893254,0.20327193,0.04505391,0.23223649,0.4948998,0.22796881,0.11244655,0.59934217,10399.216644107877
806.0,0.6282682,1.1054,0.6392676,0.5500834,0.023826122,0.29822093,0.18295935,0.08373442,0.03255636,0.14047918,0.26709655,0.078564,0.1875565,0.20217925,0.04301563,0.23111765,0.4911446,0.22846752,0.11283772,0.6053477,10399.34464472768
807.0,0.62995964,1.1093341,0.6432284,0.5519794,0.021966765,0.29879797,0.18344855,0.08255435,0.024994811,0.13763925,0.26717854,0.07855621,0.18751423,0.20255405,0.04575728,0.23089632,0.49239197,0.228729,0.11266264,0.6062446,10399.472645347481
808.0,0.6294394,1.1093292,0.6436582,0.55109644,0.025516035,0.29833493,0.1827708,0.08115058,0.030271221,0.13795525,0.26680052,0.078486405,0.18716939,0.20240134,0.04581044,0.23036967,0.49098548,0.22896557,0.11287226,0.61011493,10399.600645967283
