CH1,timestamp
672.7452,273006.14393103216
672.0827,273006.1639194472
671.4216,273006.1839078623
670.76166,273006.20389627735
669.4458,273006.2238846924
669.4458,273006.2438731075
669.4458,273006.26386152254
668.1351,273006.2838499376
666.17865,273006.3038383527
666.8295,273006.32382676774
666.17865,273006.3438151828
665.529,273006.36380359787
664.8807,273006.38379201293
664.2336,273006.40378042794
662.9432,273006.423768843
662.9432,273006.44375725806
662.29987,273006.4637456731
661.6578,273006.4837340882
660.3774,273006.50372250326
660.3774,273006.5237109183
659.10187,273006.5436993334
658.466,273006.56368774845
657.8313,273006.5836761635
657.1979,273006.6036645786
656.5657,273006.62365299364
655.3049,273006.6436414087
654.6763,273006.6636298238
654.0489,273006.68361823884
653.42267,273006.7036066539
652.1739,273006.72359506896
651.55133,273006.743583484
650.3097,273006.7635718991
649.6906,273006.78356031416
648.45605,273006.8035487292
647.8405,273006.8235371443
647.2262,273006.84352555935
646.613,273006.8635139744
645.3901,273006.8835023895
644.17175,273006.90349080454
643.56433,273006.92347921955
642.95807,273006.9434676346
642.35297,273006.9634560497
640.5444,273006.98344446474
640.5444,273007.0034328798
639.34424,273007.02342129487
638.1487,273007.04340970994
636.9575,273007.063398125
636.36365,273007.08338654006
635.17914,273007.1033749551
634.58856,273007.1233633702
633.41064,273007.14335178526
632.2371,273007.1633402003
631.06793,273007.1833286154
629.9031,273007.20331703045
629.32227,273007.2233054455
628.7425,273007.2432938606
627.5862,273007.26328227564
626.43414,273007.2832706907
626.43414,273007.30325910577
625.2863,273007.32324752084
624.714,273007.3432359359
624.14264,273007.36322435096
623.5724,273007.383212766
622.435,273007.4032011811
621.86786,273007.42318959616
621.30176,273007.44317801116
620.17267,273007.4631664262
619.6096,273007.4831548413
619.6096,273007.50314325636
618.48663,273007.5231316714
619.0476,273007.5431200865
618.48663,273007.56310850155
617.92664,273007.5830969166
617.92664,273007.6030853317
617.36774,273007.62307374674
617.36774,273007.6430621618
616.80975,273007.66305057687
616.80975,273007.68303899193
616.2528,273007.703027407
615.6969,273007.72301582206
615.6969,273007.7430042371
615.14197,273007.7629926522
615.6969,273007.78298106726
615.14197,273007.8029694823
615.6969,273007.8229578974
615.14197,273007.84294631245
615.14197,273007.8629347275
615.6969,273007.8829231426
615.6969,273007.90291155764
615.6969,273007.9228999727
616.2528,273007.94288838777
621.30176,273007.9628768028
628.1638,273007.98286521784
639.9437,273008.0028536329
654.0489,273008.02284204797
659.10187,273008.04283046303
663.58777,273008.0628188781
666.17865,273008.08280729316
666.17865,273008.1027957082
666.17865,273008.1227841233
666.8295,273008.14277253835
666.8295,273008.1627609534
666.17865,273008.1827493685
665.529,273008.20273778355
665.529,273008.2227261986
665.529,273008.2427146137
664.8807,273008.26270302874
664.8807,273008.2826914438
664.8807,273008.30267985887
662.9432,273008.32266827393
660.3774,273008.342656689
657.8313,273008.36264510406
654.6763,273008.3826335191
653.42267,273008.4026219342
658.466,273008.42261034925
659.739,273008.4425987643
658.466,273008.4625871794
657.8313,273008.4825755944
657.1979,273008.50256400945
655.93463,273008.5225524245
655.3049,273008.5425408396
655.3049,273008.56252925465
654.6763,273008.5825176697
653.42267,273008.6025060848
654.0489,273008.62249449984
654.0489,273008.6424829149
652.7977,273008.66247132997
654.0489,273008.68245974503
653.42267,273008.7024481601
653.42267,273008.72243657516
652.7977,273008.7424249902
652.7977,273008.7624134053
652.1739,273008.78240182035
651.55133,273008.8023902354
651.55133,273008.8223786505
650.3097,273008.84236706555
649.6906,273008.8623554806
649.6906,273008.8823438957
647.8405,273008.90233231074
647.2262,273008.9223207258
646.613,273008.94230914087
645.3901,273008.96229755593
644.17175,273008.98228597094
643.56433,273009.002274386
642.35297,273009.02226280107
641.74896,273009.04225121613
641.14606,273009.0622396312
639.34424,273009.08222804626
638.7459,273009.1022164613
637.55255,273009.1222048764
636.36365,273009.14219329145
635.17914,273009.1621817065
633.9991,273009.1821701216
632.2371,273009.20215853665
632.2371,273009.2221469517
630.485,273009.2421353668
628.7425,273009.26212378184
627.5862,273009.2821121969
626.43414,273009.30210061197
625.2863,273009.32208902703
624.14264,273009.3420774421
623.0032,273009.36206585716
621.86786,273009.3820542722
620.17267,273009.4020426873
619.0476,273009.42203110235
617.92664,273009.4420195174
616.80975,273009.4620079325
615.6969,273009.48199634755
614.0351,273009.50198476255
612.9322,273009.5219731776
611.83325,273009.5419615927
610.1922,273009.56195000774
609.64716,273009.5819384228
608.55994,273009.6019268379
606.9364,273009.62191525294
605.8588,273009.641903668
604.7851,273009.66189208307
604.2497,273009.68188049813
603.18164,273009.7018689132
602.1173,273009.72185732826
601.5866,273009.7418457433
600.52795,273009.7618341584
599.47296,273009.78182257345
598.9469,273009.8018109885
597.8975,273009.8217994036
596.85175,273009.84178781864
596.33026,273009.8617762337
595.8097,273009.8817646488
594.77124,273009.90175306384
593.7364,273009.9217414789
593.22034,273009.94172989397
592.70514,273009.96171830903
591.6775,273009.9817067241
591.165,273010.00169513916
590.1427,273010.02168355417
589.6328,273010.04167196923
589.12384,273010.0616603843
588.6158,273010.08164879936
588.1086,273010.1016372144
587.60223,273010.1216256295
587.60223,273010.14161404455
587.0968,273010.1616024596
586.59216,273010.1815908747
586.08844,273010.20157928974
585.5856,273010.2215677048
585.5856,273010.2415561199
585.5856,273010.26154453494
585.08356,273010.28153295
584.58246,273010.30152136507
585.08356,273010.32150978013
584.58246,273010.3414981952
584.58246,273010.36148661026
584.58246,273010.3814750253
584.58246,273010.4014634404
584.58246,273010.42145185545
584.08215,273010.4414402705
584.58246,273010.4614286856
584.58246,273010.48141710064
584.58246,273010.5014055157
584.58246,273010.5213939308
585.08356,273010.5413823458
585.08356,273010.56137076084
584.58246,273010.5813591759
584.58246,273010.601347591
585.08356,273010.62133600604
584.58246,273010.6413244211
584.08215,273010.66131283616
584.58246,273010.6813012512
584.58246,273010.7012896663
583.5827,273010.72127808136
584.08215,273010.7412664964
584.08215,273010.7612549115
583.5827,273010.78124332655
583.5827,273010.8012317416
583.08417,273010.8212201567
582.08954,273010.84120857174
582.5864,273010.8611969868
582.08954,273010.8811854019
582.08954,273010.90117381694
581.5935,273010.921162232
581.0983,273010.94115064706
580.604,273010.9611390621
580.604,273010.9811274772
580.1105,273011.00111589226
579.61786,273011.0211043073
579.12604,273011.0410927224
578.635,273011.0610811374
577.6555,273011.08106955246
577.167,273011.1010579675
576.6793,273011.1210463826
576.1925,273011.14103479765
575.7065,273011.1610232127
574.7368,273011.1810116278
574.25323,273011.20100004284
574.25323,273011.2209884579
573.7705,273011.24097687297
572.8074,273011.26096528803
572.327,273011.2809537031
571.3688,273011.30094211816
571.3688,273011.3209305332
570.89087,273011.3409189483
570.4137,273011.36090736336
569.46185,273011.3808957784
569.46185,273011.4008841935
568.98706,273011.42087260855
568.04,273011.4408610236
567.56757,273011.4608494387
567.56757,273011.48083785374
567.09595,273011.5008262688
566.6252,273011.52081468387
566.6252,273011.54080309893
