frame,1-1:1,1-2:2,2-1:3,2-3:4,3-2:5,3-3:6,3-4:7,4-2:8,4-4:9,4-5:10,5-3:11,5-4:12,5-6:13,6-4:14,6-5:15,6-6:16,7-5:17,7-7:18,8-6:19,8-7:20,timestamp
3646.0,0.36345056,0.6909294,0.1956286,0.34920314,0.08024281,0.65411264,0.3057227,0.17128605,0.1119435,0.23098801,0.7359114,0.47306618,0.6602072,0.31461662,0.05932556,0.075341135,0.53022164,0.43068632,0.26182577,0.3703068,3461.2558522774666
3647.0,0.36402246,0.68923974,0.19523694,0.34916115,0.08059477,0.65387213,0.30534557,0.16975969,0.11748172,0.22909492,0.74561095,0.47457346,0.6663055,0.31464943,0.0625161,0.07492345,0.53214693,0.4314009,0.26055402,0.36999956,3461.383852859074
3648.0,0.36571336,0.6909158,0.1942639,0.34674758,0.08270723,0.65588224,0.30547574,0.17362963,0.112143256,0.23505123,0.72679514,0.47238097,0.6513055,0.31621176,0.06078576,0.07627354,0.53326297,0.42550322,0.2611101,0.36901727,3461.5118534406815
3649.0,0.36561537,0.690617,0.19598156,0.3509588,0.08012163,0.6587503,0.3066107,0.17156368,0.116561875,0.23341952,0.7342596,0.4738096,0.66268873,0.317015,0.061890807,0.07644544,0.5351121,0.431873,0.26411623,0.3715911,3461.6398540222885
3650.0,0.36698464,0.69373804,0.19920948,0.3558112,0.08097667,0.6636631,0.3092495,0.17432445,0.120238476,0.2339052,0.7322416,0.47671956,0.6656797,0.31986335,0.06216868,0.07729332,0.53669095,0.4322757,0.2651454,0.37176087,3461.767854603896
3651.0,0.36889732,0.69881546,0.19961098,0.3559136,0.080519356,0.6670808,0.31006634,0.17394423,0.11767313,0.2368654,0.73719615,0.4794824,0.67429096,0.3179567,0.059402313,0.07680099,0.53473467,0.42709464,0.26155603,0.36812088,3461.8958551855035
3652.0,0.36535606,0.68978566,0.19366604,0.347857,0.07988094,0.66180426,0.30490798,0.1755055,0.113705054,0.2348788,0.73173726,0.47706842,0.6753436,0.31505388,0.05988549,0.07625131,0.53292125,0.42180514,0.2587555,0.36392802,3462.023855767111
3653.0,0.36201322,0.6825357,0.19162853,0.343975,0.07935278,0.6573514,0.30300957,0.17065187,0.11360976,0.22846295,0.7365706,0.47578275,0.6664779,0.31394562,0.060429774,0.07511743,0.5262978,0.42493838,0.25725278,0.36514157,3462.1518563487184
3654.0,0.36190724,0.6826487,0.1915186,0.34480745,0.08121523,0.6540134,0.3029142,0.16813342,0.11436161,0.22703592,0.72943527,0.47288966,0.65507203,0.31481847,0.058329377,0.07506467,0.5273657,0.4246529,0.2573158,0.36737478,3462.2798569303254
3655.0,0.363197,0.68468374,0.19286415,0.34554148,0.078160346,0.6543909,0.30387348,0.17409004,0.12000966,0.23569398,0.7167614,0.4717341,0.65348595,0.31659156,0.06105563,0.07625507,0.5296403,0.42483208,0.25914282,0.370261,3462.407857511933
3656.0,0.36370066,0.6844321,0.19331753,0.3458204,0.08367334,0.657667,0.30542952,0.17397933,0.11430031,0.23637167,0.7233082,0.47530094,0.66571444,0.31696236,0.05883661,0.07670809,0.5317039,0.42581573,0.26085055,0.37348887,3462.5358580935404
3657.0,0.3641926,0.68776727,0.19310088,0.34608522,0.08119313,0.66121775,0.30593443,0.17522421,0.11207738,0.23543207,0.7351112,0.47875592,0.6843226,0.31859478,0.061533593,0.07731451,0.53298795,0.4271442,0.26297572,0.3772447,3462.663858675148
3658.0,0.36480027,0.68822956,0.1930954,0.34685767,0.08077214,0.6644157,0.30616984,0.180353,0.118773356,0.24008356,0.7459033,0.48236635,0.69823647,0.32011658,0.06357311,0.077807695,0.53348327,0.42857945,0.26377496,0.3793728,3462.7918592567553
3659.0,0.3653783,0.6924537,0.19259953,0.34557256,0.080345914,0.6647422,0.30526462,0.17704786,0.115198545,0.23753533,0.7436367,0.48130974,0.69803077,0.3165146,0.060381897,0.07720353,0.5325505,0.42302108,0.26023307,0.3731993,3462.9198598383623
