X,Y,Z,timestamp
-0.36,0.308,0.854,11323.082237707855
-0.36,0.308,0.854,11323.086740080318
-0.356,0.308,0.85,11323.091242452781
-0.356,0.308,0.85,11323.095744825245
-0.356,0.308,0.85,11323.100247197708
-0.356,0.308,0.85,11323.104749570171
-0.356,0.308,0.85,11323.109251942635
-0.356,0.308,0.85,11323.113754315098
-0.356,0.308,0.85,11323.118256687561
-0.356,0.308,0.85,11323.122759060025
-0.356,0.308,0.85,11323.127261432488
-0.356,0.308,0.85,11323.131763804951
-0.36,0.312,0.854,11323.136266177415
-0.36,0.312,0.854,11323.140768549878
-0.36,0.312,0.854,11323.145270922341
-0.36,0.312,0.854,11323.149773294805
-0.36,0.312,0.854,11323.154275667268
-0.36,0.312,0.854,11323.158778039733
-0.36,0.312,0.854,11323.163280412196
-0.36,0.312,0.854,11323.16778278466
-0.36,0.312,0.854,11323.172285157123
-0.36,0.312,0.854,11323.176787529586
-0.366,0.308,0.846,11323.18128990205
-0.366,0.308,0.846,11323.185792274513
-0.366,0.308,0.846,11323.190294646976
-0.366,0.308,0.846,11323.19479701944
-0.366,0.308,0.846,11323.199299391903
-0.366,0.308,0.846,11323.203801764366
-0.366,0.308,0.846,11323.20830413683
-0.366,0.308,0.846,11323.212806509293
-0.366,0.308,0.846,11323.217308881756
-0.366,0.308,0.846,11323.22181125422
-0.366,0.308,0.846,11323.226313626683
-0.37,0.312,0.854,11323.230815999146
-0.37,0.312,0.854,11323.23531837161
-0.37,0.312,0.854,11323.239820744073
-0.37,0.312,0.854,11323.244323116536
-0.37,0.312,0.854,11323.248825489001
-0.37,0.312,0.854,11323.253327861465
-0.37,0.312,0.854,11323.257830233928
-0.37,0.312,0.854,11323.262332606391
-0.37,0.312,0.854,11323.266834978855
-0.37,0.312,0.854,11323.271337351318
-0.358,0.31,0.854,11323.275839723781
-0.358,0.31,0.854,11323.280342096245
-0.358,0.31,0.854,11323.284844468708
-0.358,0.31,0.854,11323.289346841171
-0.358,0.31,0.854,11323.293849213635
-0.358,0.31,0.854,11323.298351586098
-0.358,0.31,0.854,11323.302853958561
-0.358,0.31,0.854,11323.307356331024
-0.358,0.31,0.854,11323.311858703488
-0.358,0.31,0.854,11323.316361075951
-0.354,0.312,0.852,11323.320863448414
-0.354,0.312,0.852,11323.325365820878
-0.354,0.312,0.852,11323.329868193341
-0.354,0.312,0.852,11323.334370565804
-0.354,0.312,0.852,11323.33887293827
-0.354,0.312,0.852,11323.343375310733
-0.354,0.312,0.852,11323.347877683196
-0.354,0.312,0.852,11323.35238005566
-0.354,0.312,0.852,11323.356882428123
-0.354,0.312,0.852,11323.361384800586
-0.354,0.308,0.848,11323.36588717305
-0.354,0.308,0.848,11323.370389545513
-0.354,0.308,0.848,11323.374891917976
-0.354,0.308,0.848,11323.37939429044
-0.354,0.308,0.848,11323.383896662903
-0.354,0.308,0.848,11323.388399035366
-0.354,0.308,0.848,11323.39290140783
-0.354,0.308,0.848,11323.397403780293
-0.354,0.308,0.848,11323.401906152756
-0.354,0.308,0.848,11323.40640852522
-0.36,0.306,0.85,11323.410910897683
-0.36,0.306,0.85,11323.415413270146
-0.36,0.306,0.85,11323.41991564261
-0.36,0.306,0.85,11323.424418015073
-0.36,0.306,0.85,11323.428920387538
-0.36,0.306,0.85,11323.433422760001
-0.36,0.306,0.85,11323.437925132464
-0.36,0.306,0.85,11323.442427504928
-0.36,0.306,0.85,11323.446929877391
-0.36,0.306,0.85,11323.451432249854
-0.362,0.308,0.858,11323.455934622318
-0.362,0.308,0.858,11323.460436994781
-0.362,0.308,0.858,11323.464939367244
-0.362,0.308,0.858,11323.469441739708
-0.362,0.308,0.858,11323.473944112171
-0.362,0.308,0.858,11323.478446484634
-0.362,0.308,0.858,11323.482948857098
-0.362,0.308,0.858,11323.487451229561
-0.362,0.308,0.858,11323.491953602024
-0.362,0.308,0.858,11323.496455974488
-0.356,0.312,0.856,11323.500958346951
-0.356,0.312,0.856,11323.505460719414
-0.356,0.312,0.856,11323.509963091878
-0.356,0.312,0.856,11323.51446546434
-0.356,0.312,0.856,11323.518967836804
-0.356,0.312,0.856,11323.52347020927
-0.356,0.312,0.856,11323.527972581733
-0.356,0.312,0.856,11323.532474954196
-0.356,0.312,0.856,11323.53697732666
-0.356,0.312,0.856,11323.541479699123
-0.356,0.312,0.856,11323.545982071586
-0.356,0.316,0.858,11323.55048444405
-0.356,0.316,0.858,11323.554986816513
-0.356,0.316,0.858,11323.559489188976
-0.356,0.316,0.858,11323.56399156144
-0.356,0.316,0.858,11323.568493933903
-0.356,0.316,0.858,11323.572996306366
-0.356,0.316,0.858,11323.57749867883
-0.356,0.316,0.858,11323.582001051293
-0.356,0.316,0.858,11323.586503423756
-0.356,0.316,0.858,11323.59100579622
-0.358,0.308,0.858,11323.595508168682
-0.358,0.308,0.858,11323.600010541146
-0.358,0.308,0.858,11323.60451291361
-0.358,0.308,0.858,11323.609015286072
-0.358,0.308,0.858,11323.613517658538
-0.358,0.308,0.858,11323.618020031001
-0.358,0.308,0.858,11323.622522403464
-0.358,0.308,0.858,11323.627024775928
-0.358,0.308,0.858,11323.63152714839
-0.358,0.308,0.858,11323.636029520854
-0.362,0.31,0.854,11323.640531893318
-0.362,0.31,0.854,11323.64503426578
-0.362,0.31,0.854,11323.649536638244
-0.362,0.31,0.854,11323.654039010707
-0.362,0.31,0.854,11323.65854138317
-0.362,0.31,0.854,11323.663043755634
-0.362,0.31,0.854,11323.667546128097
-0.362,0.31,0.854,11323.67204850056
-0.362,0.31,0.854,11323.676550873024
-0.362,0.31,0.854,11323.681053245487
-0.366,0.308,0.848,11323.68555561795
-0.366,0.308,0.848,11323.690057990414
-0.366,0.308,0.848,11323.694560362877
-0.366,0.308,0.848,11323.69906273534
-0.366,0.308,0.848,11323.703565107806
-0.366,0.308,0.848,11323.70806748027
-0.366,0.308,0.848,11323.712569852732
-0.366,0.308,0.848,11323.717072225196
-0.366,0.308,0.848,11323.72157459766
-0.366,0.308,0.848,11323.726076970122
-0.364,0.318,0.848,11323.730579342586
-0.364,0.318,0.848,11323.73508171505
-0.364,0.318,0.848,11323.739584087512
-0.364,0.318,0.848,11323.744086459976
-0.364,0.318,0.848,11323.748588832439
-0.364,0.318,0.848,11323.753091204902
-0.364,0.318,0.848,11323.757593577366
-0.364,0.318,0.848,11323.762095949829
-0.364,0.318,0.848,11323.766598322292
-0.364,0.318,0.848,11323.771100694756
-0.364,0.316,0.848,11323.775603067219
-0.364,0.316,0.848,11323.780105439682
-0.364,0.316,0.848,11323.784607812146
-0.364,0.316,0.848,11323.789110184609
-0.364,0.316,0.848,11323.793612557072
-0.364,0.316,0.848,11323.798114929537
-0.364,0.316,0.848,11323.802617302
-0.364,0.316,0.848,11323.807119674464
-0.364,0.316,0.848,11323.811622046927
-0.364,0.316,0.848,11323.81612441939
-0.364,0.31,0.85,11323.820626791854
-0.364,0.31,0.85,11323.825129164317
-0.364,0.31,0.85,11323.82963153678
-0.364,0.31,0.85,11323.834133909244
-0.364,0.31,0.85,11323.838636281707
-0.364,0.31,0.85,11323.84313865417
-0.364,0.31,0.85,11323.847641026634
-0.364,0.31,0.85,11323.852143399097
-0.364,0.31,0.85,11323.85664577156
-0.364,0.31,0.85,11323.861148144024
-0.364,0.31,0.85,11323.865650516487
-0.364,0.308,0.854,11323.87015288895
-0.364,0.308,0.854,11323.874655261414
-0.364,0.308,0.854,11323.879157633877
-0.364,0.308,0.854,11323.88366000634
-0.364,0.308,0.854,11323.888162378806
-0.364,0.308,0.854,11323.892664751269
-0.364,0.308,0.854,11323.897167123732
-0.364,0.308,0.854,11323.901669496196
-0.364,0.308,0.854,11323.906171868659
-0.364,0.308,0.854,11323.910674241122
-0.37,0.306,0.854,11323.915176613586
-0.37,0.306,0.854,11323.919678986049
-0.37,0.306,0.854,11323.924181358512
-0.37,0.306,0.854,11323.928683730976
-0.37,0.306,0.854,11323.933186103439
-0.37,0.306,0.854,11323.937688475902
-0.37,0.306,0.854,11323.942190848365
-0.37,0.306,0.854,11323.946693220829
-0.37,0.306,0.854,11323.951195593292
-0.37,0.306,0.854,11323.955697965755
-0.366,0.308,0.86,11323.960200338219
-0.366,0.308,0.86,11323.964702710682
-0.366,0.308,0.86,11323.969205083145
-0.366,0.308,0.86,11323.973707455609
-0.366,0.308,0.86,11323.978209828074
-0.366,0.308,0.86,11323.982712200537
-0.366,0.308,0.86,11323.987214573
-0.366,0.308,0.86,11323.991716945464
-0.366,0.308,0.86,11323.996219317927
-0.366,0.308,0.86,11324.00072169039
-0.356,0.302,0.856,11324.005224062854
-0.356,0.302,0.856,11324.009726435317
-0.356,0.302,0.856,11324.01422880778
-0.356,0.302,0.856,11324.018731180244
-0.356,0.302,0.856,11324.023233552707
-0.356,0.302,0.856,11324.02773592517
-0.356,0.302,0.856,11324.032238297634
-0.356,0.302,0.856,11324.036740670097
-0.356,0.302,0.856,11324.04124304256
-0.356,0.302,0.856,11324.045745415024
-0.36,0.31,0.856,11324.050247787487
-0.36,0.31,0.856,11324.05475015995
-0.36,0.31,0.856,11324.059252532414
-0.36,0.31,0.856,11324.063754904877
-0.36,0.31,0.856,11324.068257277342
-0.36,0.31,0.856,11324.072759649805
-0.36,0.31,0.856,11324.077262022269
-0.36,0.31,0.856,11324.081764394732
-0.36,0.31,0.856,11324.086266767195
-0.36,0.31,0.856,11324.090769139659
