X,Y,Z,timestamp
-0.45,0.374,0.782,11421.054376181362
-0.45,0.374,0.782,11421.058369547567
-0.45,0.374,0.782,11421.062362913772
-0.45,0.374,0.782,11421.066356279975
-0.45,0.374,0.782,11421.07034964618
-0.45,0.374,0.782,11421.074343012384
-0.45,0.374,0.782,11421.078336378587
-0.45,0.372,0.778,11421.082329744791
-0.45,0.372,0.778,11421.086323110996
-0.45,0.372,0.778,11421.0903164772
-0.45,0.372,0.778,11421.094309843404
-0.45,0.372,0.778,11421.098303209608
-0.45,0.372,0.778,11421.102296575813
-0.45,0.372,0.778,11421.106289942016
-0.45,0.372,0.778,11421.11028330822
-0.45,0.372,0.778,11421.114276674425
-0.45,0.372,0.778,11421.118270040628
-0.452,0.366,0.778,11421.122263406833
-0.452,0.366,0.778,11421.126256773037
-0.452,0.366,0.778,11421.13025013924
-0.452,0.366,0.778,11421.134243505445
-0.452,0.366,0.778,11421.13823687165
-0.452,0.366,0.778,11421.142230237852
-0.452,0.366,0.778,11421.146223604057
-0.452,0.366,0.778,11421.150216970262
-0.452,0.366,0.778,11421.154210336466
-0.452,0.366,0.778,11421.15820370267
-0.454,0.366,0.784,11421.162197068874
-0.454,0.366,0.784,11421.166190435079
-0.454,0.366,0.784,11421.170183801281
-0.454,0.366,0.784,11421.174177167486
-0.454,0.366,0.784,11421.17817053369
-0.454,0.366,0.784,11421.182163899894
-0.454,0.366,0.784,11421.186157266098
-0.454,0.366,0.784,11421.190150632303
-0.454,0.366,0.784,11421.194143998506
-0.454,0.366,0.784,11421.19813736471
-0.448,0.37,0.79,11421.202130730915
-0.448,0.37,0.79,11421.206124097118
-0.448,0.37,0.79,11421.210117463323
-0.448,0.37,0.79,11421.214110829527
-0.448,0.37,0.79,11421.218104195732
-0.448,0.37,0.79,11421.222097561935
-0.448,0.37,0.79,11421.22609092814
-0.448,0.37,0.79,11421.230084294344
-0.448,0.37,0.79,11421.234077660547
-0.448,0.37,0.79,11421.238071026752
-0.444,0.37,0.79,11421.242064392956
-0.444,0.37,0.79,11421.24605775916
-0.444,0.37,0.79,11421.250051125364
