C1CH1,C1CH2,C2CH1,C2CH2,timestamp
-2.3448906,-1.1138464,-1.0795887,0.015001299,2647.4545964965732
-0.36933485,-1.0839881,-0.0043994193,-1.2555654,2647.4561157927988
1.4678193,-0.0043272977,-0.004255176,0.9323884,2647.457635089024
-2.1786501,1.4950092,-2.3448906,-1.0901184,2647.4591543852493
-1.112981,-0.004255176,0.010385514,-0.12354435,2647.4606736814744
-1.086945,-2.3448906,-1.4032705,-1.074468,2647.4621929777
-0.0043272977,-0.3508717,1.4678193,-0.0043994193,2647.4637122739255
0.3134406,1.4678193,-1.091056,-0.004255176,2647.4652315701505
-0.004255176,-2.1786501,-0.105081216,-2.3448906,2647.466750866376
-2.3448906,-1.1149282,-1.079228,0.010385514,2647.4682701626016
-0.20316663,-1.0831226,-0.0043994193,-2.0679436,2647.4697894588267
1.4678193,-0.0043272977,-0.004255176,1.4308931,2647.471308755052
-2.030945,0.3135127,-2.3448906,-1.0898299,2647.4728280512772
-1.1113222,-0.004255176,0.00576973,-0.08661807,2647.4743473475028
-1.0863681,-2.3448906,-1.1632497,-1.0764153,2647.4758666437283
-0.004255176,0.1660961,1.0616304,-0.0043994193,2647.4773859399534
-0.86812806,1.4678193,-1.0895414,-0.004255176,2647.478905236179
-0.004255176,-1.2739564,-0.06815494,-2.3448906,2647.4804245324044
-2.3448906,-1.1145676,-1.0769202,0.00576973,2647.4819438286295
-1.200176,-1.0868008,-0.0043994193,-1.1817129,2647.483463124855
1.4678193,-0.0043272977,-0.004255176,0.54466254,2647.48498242108
-1.753998,-0.86805594,-2.3448906,-1.0924263,2647.4865017173056
-1.1151446,-0.004255176,0.001153946,-0.049691804,2647.488021013531
-1.0849978,-2.3448906,-1.5325125,-1.0770644,2647.489540309756
-0.0043272977,-0.20316663,0.9693147,-0.0043994193,2647.4910596059817
-2.0496247,1.4678193,-1.0947342,-0.004255176,2647.492578902207
-0.004255176,-2.0863345,-0.049691804,-2.3448906,2647.4940981984323
-2.3448906,-1.1170198,-1.0782183,0.001153946,2647.495617494658
-0.44318742,-1.0868729,-0.0043994193,-1.1632497,2647.497136790883
1.4678193,-0.0043272977,-0.004255176,1.0616304,2647.4986560871084
-2.1047976,-2.0495524,-2.3448906,-1.0935802,2647.500175383334
-1.1155773,-0.004255176,0.015001299,-0.031228665,2647.501694679559
-1.086945,-2.3448906,-1.7540702,-1.0806705,2647.5032139757845
-0.0043272977,-1.0524709,1.2462617,-0.0043994193,2647.5047332720096
1.4954419,1.4678193,-1.0913445,-0.004255176,2647.506252568235
-0.004255176,-1.8278506,-0.012765529,-2.3448906,2647.5077718644607
-2.3448906,-1.1132694,-1.0757662,0.015001299,2647.5092911606857
-0.62781876,-1.0840602,-0.0043994193,-1.7909964,2647.5108104569113
1.4862825,-0.0043272977,-0.004255176,1.2462617,2647.512329753137
-1.1631776,1.4770509,-2.3448906,-1.0925705,2647.513849049362
-1.1157937,-0.004255176,0.010385514,0.00576973,2647.5153683455874
-1.0841323,-2.3448906,-1.2371023,-1.0772808,2647.5168876418124
-0.0043272977,-0.36933485,0.876999,-0.0043994193,2647.518406938038
0.2954823,1.4862825,-1.0906233,-0.004255176,2647.5199262342635
-0.004255176,2.307892,0.024232868,-2.3448906,2647.5214455304886
-2.3448906,-1.1160101,-1.0793002,0.010385514,2647.522964826714
-0.49857682,-1.0878826,-0.0043994193,-1.735607,2647.524484122939
1.4862825,-0.0043272977,-0.004255176,0.7292939,2647.5260034191647
2.2155764,0.29555443,-2.3448906,-1.0943736,2647.52752271539
-1.1132694,-0.004255176,0.00576973,0.042696003,2647.5290420116153
-1.0826178,-2.3448906,-1.2740285,-1.0785068,2647.530561307841
-0.0043272977,-0.44318742,-0.12001039,-0.0043994193,2647.5320806040663
-0.88608634,1.4862825,-1.0909117,-0.004255176,2647.5335999002914
-0.004255176,2.307892,0.06115914,-2.3448906,2647.535119196517
-2.3448906,-1.114784,-1.0776414,0.00576973,2647.536638492742
-0.49857682,-1.0855026,-0.0043994193,-1.7171439,2647.5381577889675
1.4862825,-0.0043272977,-0.004255176,0.89546216,2647.539677085193
-1.8647768,-0.8860142,-2.3448906,-1.0912002,2647.541196381418
-1.112981,-0.004255176,0.001153946,0.079622276,2647.5427156776436
-1.0846372,-2.3448906,2.160115,-1.0788674,2647.544234973869
-0.0043272977,-1.2371023,0.54466254,-0.0043994193,2647.545754270094
-2.0675828,1.4862825,-1.091633,-0.004255176,2647.5472735663197
-0.004255176,-1.5324404,0.079622276,-2.3448906,2647.548792862545
-2.3448906,-1.1135579,-1.080382,0.001153946,2647.5503121587703
-0.31394544,-1.0861517,-0.0043994193,-2.271038,2647.551831454996
1.4862825,-0.0043272977,-0.004255176,0.56312567,2647.553350751221
